review_id,query,side,rank,service_name,human_verdict,human_notes
review-0175,"אמא שלי השתחררה מבית החולים, מה מגיע לה?",missed_ground_truth,2,שירותי תמיכה וסיוע למתמודדות עם סרטן השד,,
review-0176,מסגרת דיור למתמודדי נפש,missed_ground_truth,2,מכינה לחיים עצמאים הד - דיור לצעירים בקהילה,,
review-0177,מועדון יום לאזרחים ותיקים כולל הסעות באזור השרון,missed_ground_truth,1,מרכזי אפ60+ להכוונה וצמיחה עבור אזרחים ותיקים,,
review-0178,מיצוי זכויות לחולים,missed_ground_truth,12,תמיכה אישית לחולי ריאה ומושתלים,,
review-0179,חינוך והעשרה עבור נוער,unexpected_retrieved,7,מרכז הנוער – מרכז חינוכי לבני נוער ומשפחותיהם,,
review-0180,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,16,חלוקת מזון,,
review-0181,"סבא שלי נפל וצריך כיסא גלגלים והליכון בהשאלה לחודשיים, ממי אפשר לקחת?",missed_ground_truth,8,תרופות וציוד רפואי לחולים,,
review-0182,"אנחנו זוג צעיר שנקלע למינוס עצום בגלל הלוואות, מחפשים עמותה שמייעצת בניהול כלכלת המשפחה בחינם.",unexpected_retrieved,19,ייעוץ פנסיוני וביטוחי ללא עלות,,
review-0183,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,38,מעטפת הווי וקהילה לגמלאיות מהמגזר החרדי,,
review-0184,פעילות למבוגר מוגבל,missed_ground_truth,3,הגשמת חלום זה הינו אחד ממטרות העבודה שלנו .בית הספר הגבוה לליצנות רפואית,,
review-0185,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,32,ספרייה תורנית לרווחת הציבור,,
review-0186,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,8,חוזרים לעבודה,,
review-0187,ביגוד והנעלה למשפחות נזקקות,missed_ground_truth,11,פעילות חסד,,
review-0188,ליווי והדרכה לצעירים,unexpected_retrieved,11,עזרה לילדים מתמודדים,,
review-0189,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,17,יעוץ משפטי - המוקד לעובד,,
review-0190,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,28,דירות בקהילות ייחודיות לאנשים עם מוגבלות,,
review-0191,ייעוץ זוגי מסובסד רחובות,unexpected_retrieved,10,"הדרכת הורים, טיפולים משפחתיים",,
review-0192,עובד זר לניצול שואה ערירי,unexpected_retrieved,8,קשר ותמיכה אוזן קשבת,,
review-0193,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,14,מסע ריטריט- חלאס מסע בטבע,,
review-0194,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,62,הנגשה בירוקרטית,,
review-0195,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,196,תמיכה ויעוץ רפואי והספקת תרופות,,
review-0196,קבוצת תמיכה לאחים של ילדים עם צרכים מיוחדים,unexpected_retrieved,11,סיוע לילדים נכים ומוגבלים,,
review-0197,דיור לנשים נפגעות אלימות,unexpected_retrieved,21,הוסטל לצעירים ולצעירות בסיכון,,
review-0198,אני אם חד הורית ומחפשת קורס מקצועי בחינם או בסבסוד כדי לשפר את השכר שלי.,unexpected_retrieved,26,סדנאות לווי והדרכה בנושאים רלוונטים לתהליכי גירושין ופרק ב',,
review-0199,אבחון אוטיזם בבאר שבע,missed_ground_truth,2,"חווה טיפולית ע""י סוסים לילדים",,
review-0200,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,26,מעונות פנימייה לאנשים עם מוגבלות,,
